Year,Month,DOMESTIC,Code
2013,9,736041,DCA
2013,10,828882,DCA
2013,11,767841,DCA
2013,12,791825,DCA
2014,1,684978,DCA
2014,2,651537,DCA
2014,3,813609,DCA
2014,4,868941,DCA
2014,5,908802,DCA
2014,6,861895,DCA
2014,7,853700,DCA
2014,8,858888,DCA
2014,9,782531,DCA
2014,10,916604,DCA
2014,11,835447,DCA
2014,12,860226,DCA
2015,1,714216,DCA
2015,2,710814,DCA
2015,3,925707,DCA
2015,4,953718,DCA
2015,5,1011468,DCA
2015,6,973310,DCA
2015,7,1019035,DCA
2015,8,969397,DCA
2015,9,892946,DCA
2015,10,1032609,DCA
2015,11,932351,DCA
2015,12,892921,DCA
2016,1,722737,DCA
2016,2,781038,DCA
2016,3,1001925,DCA
2016,4,970479,DCA
2016,5,1031279,DCA
2016,6,1005042,DCA
2016,7,994810,DCA
2016,8,973037,DCA
2016,9,932745,DCA
2016,10,1002767,DCA
2016,11,938495,DCA
2016,12,909121,DCA
2017,1,809042,DCA
2017,2,770334,DCA
2017,3,990428,DCA
2017,4,970590,DCA
2017,5,1012733,DCA
2017,6,1013130,DCA
2017,7,982266,DCA
2017,8,996488,DCA
2017,9,875995,DCA
2017,10,1020919,DCA
2017,11,962511,DCA
2017,12,895960,DCA
2018,1,754341,DCA
2018,2,784308,DCA
2018,3,966858,DCA
2018,4,977328,DCA
2018,5,1007903,DCA
2018,6,1020813,DCA
2018,7,989803,DCA
2018,8,990886,DCA
2002,10,1293819,DEN
2002,11,1147358,DEN
2002,12,1437904,DEN
2003,1,1276666,DEN
2003,2,1197208,DEN
2003,3,1439085,DEN
2003,4,1288119,DEN
2003,5,1397147,DEN
2003,6,1575468,DEN
2003,7,1737351,DEN
2003,8,1661015,DEN
2003,9,1376431,DEN
2003,10,1472405,DEN
2003,11,1334660,DEN
2003,12,1523781,DEN
2004,1,1420640,DEN
2004,2,1386744,DEN
2004,3,1702288,DEN
2004,4,1543719,DEN
2004,5,1622802,DEN
2004,6,1842689,DEN
2004,7,1970664,DEN
2004,8,1871338,DEN
2004,9,1548863,DEN
2004,10,1598030,DEN
2004,11,1477855,DEN
2004,12,1603105,DEN
2005,1,1499626,DEN
2005,2,1399025,DEN
2005,3,1683692,DEN
2005,4,1512150,DEN
2005,5,1684747,DEN
2005,6,1876197,DEN
2005,7,1984326,DEN
2005,8,1881356,DEN
2005,9,1608517,DEN
2005,10,1637949,DEN
2005,11,1523152,DEN
2005,12,1634205,DEN
2006,1,1618330,DEN
2006,2,1545246,DEN
2006,3,1950046,DEN
2006,4,1753850,DEN
2006,5,1922831,DEN
2006,6,2039064,DEN
2006,7,2131831,DEN
2006,8,2025759,DEN
2006,9,1752862,DEN
2006,10,1839728,DEN
2006,11,1698997,DEN
2006,12,1560253,DEN
2007,1,1713797,DEN
2007,2,1615133,DEN
2007,3,2038167,DEN
2007,4,1860634,DEN
2007,5,1978613,DEN
2007,6,2101018,DEN
2007,7,2235035,DEN
2007,8,2175567,DEN
2007,9,1841190,DEN
2007,10,1939447,DEN
2007,11,1769170,DEN
2007,12,1730529,DEN
2008,1,1713640,DEN
2008,2,1724696,DEN
2008,3,2040598,DEN
2008,4,1852006,DEN
2008,5,2016239,DEN
2008,6,2164789,DEN
2008,7,2263419,DEN
2008,8,2178537,DEN
2008,9,1834885,DEN
2008,10,1904432,DEN
2008,11,1674668,DEN
2008,12,1796853,DEN
2009,1,1666488,DEN
2009,2,1584983,DEN
2009,3,1989665,DEN
2009,4,1780782,DEN
2009,5,1917628,DEN
2009,6,2138014,DEN
2009,7,2319711,DEN
2009,8,2217002,DEN
2009,9,1886595,DEN
2009,10,1924947,DEN
2009,11,1736290,DEN
2009,12,1844445,DEN
2010,1,1725757,DEN
2010,2,1637531,DEN
2010,3,2080576,DEN
2010,4,1902851,DEN
2010,5,2046491,DEN
2010,6,2234149,DEN
2010,7,2361533,DEN
2010,8,2303213,DEN
2010,9,2018841,DEN
2010,10,2105753,DEN
2010,11,1891796,DEN
2010,12,1959786,DEN
2011,1,1807558,DEN
2011,2,1701087,DEN
2011,3,2134695,DEN
2011,4,1913869,DEN
2011,5,2130148,DEN
2011,6,2267970,DEN
2011,7,2397826,DEN
2011,8,2363340,DEN
2011,9,2053128,DEN
2011,10,2066449,DEN
2011,11,1930512,DEN
2011,12,1991044,DEN
2012,1,1823535,DEN
2012,2,1746327,DEN
2012,3,2102087,DEN
2012,4,1918748,DEN
2012,5,2127133,DEN
2012,6,2235745,DEN
2012,7,2388156,DEN
2012,8,2387355,DEN
2012,9,2073285,DEN
2012,10,2136379,DEN
2012,11,1971906,DEN
2012,12,1995675,DEN
2013,1,1879437,DEN
2013,2,1723111,DEN
2013,3,2078230,DEN
2013,4,1879489,DEN
2013,5,2098277,DEN
2013,6,2185138,DEN
2013,7,2295363,DEN
2013,8,2231658,DEN
2013,9,2046719,DEN
2013,10,2108752,DEN
2013,11,1897419,DEN
2013,12,2079851,DEN
2014,1,1878141,DEN
2014,2,1738673,DEN
2014,3,2122997,DEN
2014,4,1922662,DEN
2014,5,2126388,DEN
2014,6,2228593,DEN
2014,7,2356477,DEN
2014,8,2296943,DEN
2014,9,2120183,DEN
2014,10,2178854,DEN
2014,11,1886029,DEN
2014,12,2021262,DEN
2015,1,1842827,DEN
2015,2,1696475,DEN
